▁زوج	9.732855872695676
ة	3.556383429256533
▁أوباما	8.332687612512583
زور	9.00644459849522
▁ت	4.861865861112939
▁المغرب	8.639157598829996
▁نهاية	7.979063001391473
▁الشهر	7.849357656030894
▁لدعم	9.257352687883904
▁تعليم	9.521546779028471
يات	6.369828775687886
▁الفت	9.072596558980567
▁العالم	6.818110379762863
▁الر	7.112673029803776
باط	7.9260146289103
NN	7.332290371341427
C	7.303638128768266
▁(	5.369083065328125
-	6.429314557534566
)	5.570394639731872
▁أعلن	8.020649035169576
▁البيت	8.907648970122665
▁الأبيض	8.941728283775529
▁عن	5.102275971182217
▁زيارة	8.738515367950198
▁مرت	8.928483057025508
قبة	9.051543149782734
يل	6.85332700072422
▁لم	5.910821935213883
يش	7.480017283370883
،	3.284525085769378
▁الرئيس	6.626029551636099
▁الأمريكي	7.813341466406187
▁با	7.059721936699695
راك	8.201697517316733
▁إلى	4.649608121930824
▁و	4.022945155312306
باني	8.400179487366696
ا	4.285586188371838
اس	7.379521751046866
يا	5.939682648164945
▁ولي	8.546089069818654
بير	7.825494393757599
▁شهر	7.754291448089692
▁يونيو	8.321868898985414
ز	6.5434694407132
/	6.3596949232568045
يران	7.922640318646711
ح	6.900854335244951
▁الجاري	8.290097783418517
غرض	9.781057974513555
▁ل	4.857119853126677
ترويج	9.80922885148025
▁	3.201082573488475
ثقافة	9.190189643074028
▁وهو	6.852666498718701
▁واحد	7.885327843916728
▁من	3.7552590990208716
التزام	8.637189094257325
ات	4.185257188988839
▁السيد	8.700090149825154
▁الأولى	7.48746379621637
ولا	8.241936560496914
▁لل	4.832757869358107
.	3.5577777117022533
▁المتحدة	6.413442910685583
حل	7.687823110701383
▁وست	7.956907009494264
ّ	6.100157801221635
▁مي	7.800056505646971
ش	6.112365480801564
▁أولا	9.404822504720329
▁في	3.3759927784573214
▁لي	6.866796897573578
▁حيث	6.610620523848281
▁ست	6.805276487378912
▁مركز	8.125773673954036
مدرسة	9.351201413281231
▁لأ	7.306752587553589
جل	7.9634021609819206
▁الحديث	9.00502313414784
▁مع	5.27172588543128
▁الشاب	9.20049901273289
▁حول	7.113529744356068
ل	5.94439728885784
▁العراقي	8.208719569790452
▁التي	5.200414519813171
▁ي	4.764166570581291
لقي	8.553296308223604
نها	9.253703048796353
▁ال	3.9790701510916926
استمرار	8.072389406797164
▁المدرسة	9.825229192826692
لتقي	9.379716583589252
رئيس	8.101311184480547
▁بال	5.36706324044095
ن	5.868479567793709
▁إلي	9.122451119205786
سون	8.447032041939421
▁جون	8.867239431784789
ت	4.394469736406429
نقل	8.372633751885562
▁بعد	5.75234992969635
▁ذلك	6.44248051671687
ضبط	9.37559286640539
▁وبال	8.44459598714154
▁يوم	6.609584388539938
ي	4.223348467186211
▁28	8.988121323345238
29	9.718257073274524
لت	8.031858119704296
حق	8.518641574317543
▁بم	6.767582806626395
مثل	7.768214686934301
▁الم	4.551138418441158
ريل	9.095656766068265
ريب	8.205521613755135
جري	8.706392691695957
▁م	5.049064803827672
حادث	8.317573974702533
ين	4.541125263528711
▁مسؤول	7.450473487019151
ربة	8.548785700666254
غا	7.524904717620815
▁جهود	8.811870296517315
▁دعم	7.994973011097553
ذه	9.75365900032544
اب	7.29153237886926
نتقل	9.71536271524816
▁30	8.208719569790452
ينو	10.060543279761157
▁مدريد	8.827209830332936
▁خطاب	9.009293603271294
▁مبا	9.909312310037233
در	7.455588587685921
تها	6.487739136622329
رك	7.298984552634955
▁"	4.79732452168069
وا	5.813039782972911
درس	9.103463206961095
